date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:31:33	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Jul%202025%2015:31:32%20GMT	https://joelanne.com/robots.txt		(from )
11:31:33	2349/2349	---M--	200	added ('OK')	text/html	date:Sat,%2010%20Feb%202024%2015:19:15%20GMT	https://joelanne.com/	./joelanne-com/joelanne.com/index.html	(from )
11:31:33	17501/17501	---M--	200	added ('OK')	text/css	date:Sat,%2010%20Feb%202024%2015:19:15%20GMT	https://joelanne.com/assets/css/main.css	./joelanne-com/joelanne.com/assets/css/main.css	(from https://joelanne.com/)
11:31:34	370/370	---M--	200	added ('OK')	text/css	date:Sat,%2010%20Feb%202024%2015:19:15%20GMT	https://joelanne.com/assets/css/noscript.css	./joelanne-com/joelanne.com/assets/css/noscript.css	(from https://joelanne.com/)
11:31:35	26711/26711	---M--	200	added ('OK')	text/css	date:Sat,%2010%20Feb%202024%2015:19:15%20GMT	https://joelanne.com/assets/css/font-awesome.min.css	./joelanne-com/joelanne.com/assets/css/font-awesome.min.css	(from https://joelanne.com/assets/css/main.css)
11:31:36	3045/3045	---M--	200	added ('OK')	image/png	date:Sat,%2010%20Feb%202024%2015:19:15%20GMT	https://joelanne.com/assets/css/images/overlay.png	./joelanne-com/joelanne.com/assets/css/images/overlay.png	(from https://joelanne.com/assets/css/main.css)
11:31:37	23359/23359	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20Feb%202024%2015:19:15%20GMT	https://joelanne.com/images/bg.jpg	./joelanne-com/joelanne.com/images/bg.jpg	(from https://joelanne.com/assets/css/main.css)
11:31:38	68875/68875	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2010%20Feb%202024%2015:19:15%20GMT	https://joelanne.com/assets/fonts/fontawesome-webfont.eot?v=4.4.0	./joelanne-com/joelanne.com/assets/fonts/fontawesome-webfont93e3.eot	(from https://joelanne.com/assets/css/font-awesome.min.css)
11:31:39	68875/68875	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2010%20Feb%202024%2015:19:15%20GMT	https://joelanne.com/assets/fonts/fontawesome-webfont.eot?	./joelanne-com/joelanne.com/assets/fonts/fontawesome-webfontd41d.eot	(from https://joelanne.com/assets/css/font-awesome.min.css)
11:31:40	64464/64464	---M--	200	added ('OK')	font/woff2	date:Sat,%2010%20Feb%202024%2015:19:15%20GMT	https://joelanne.com/assets/fonts/fontawesome-webfont.woff2?v=4.4.0	./joelanne-com/joelanne.com/assets/fonts/fontawesome-webfont93e3.woff2	(from https://joelanne.com/assets/css/font-awesome.min.css)
11:31:42	81284/81284	---M--	200	added ('OK')	font/woff	date:Sat,%2010%20Feb%202024%2015:19:15%20GMT	https://joelanne.com/assets/fonts/fontawesome-webfont.woff?v=4.4.0	./joelanne-com/joelanne.com/assets/fonts/fontawesome-webfont93e3.woff	(from https://joelanne.com/assets/css/font-awesome.min.css)
11:31:43	138204/138204	---M--	200	added ('OK')	font/ttf	date:Sat,%2010%20Feb%202024%2015:19:15%20GMT	https://joelanne.com/assets/fonts/fontawesome-webfont.ttf?v=4.4.0	./joelanne-com/joelanne.com/assets/fonts/fontawesome-webfont93e3.ttf	(from https://joelanne.com/assets/css/font-awesome.min.css)
11:31:44	355980/355980	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2010%20Feb%202024%2015:19:15%20GMT	https://joelanne.com/assets/fonts/fontawesome-webfont.svg?v=4.4.0	./joelanne-com/joelanne.com/assets/fonts/fontawesome-webfont93e3.svg	(from https://joelanne.com/assets/css/font-awesome.min.css)
